city_state,city,state,city_total,ideologies,lon,lat
"Bronx, New York",Bronx,New York,1,Anti-Muslim (1),-73.8648268,40.8447819
"Brooklyn, New York",Brooklyn,New York,5,Black Separatist (3)<br /> General Hate (2),-73.9441579,40.6781784
"Buffalo, New York",Buffalo,New York,1,Radical Traditional Catholicism (1),-78.8783689,42.8864468
"Fishkill, New York",Fishkill,New York,1,Anti-Muslim (1),-73.8990252,41.5356492
"Fresh Meadows, New York",Fresh Meadows,New York,1,General Hate (1),-73.7801447,40.7335179
"Hauppauge, New York",Hauppauge,New York,1,Anti-Muslim (1),-73.2026138,40.8256536
"Hopewell Junction, New York",Hopewell Junction,New York,1,White Nationalist (1),-73.8087442,41.5839823
"Lockport, New York",Lockport,New York,1,White Nationalist (1),-78.6903098,43.1706128
"Mount Vernon, New York",Mount Vernon,New York,2,Black Separatist (2),-73.8370786,40.9125992
"New York, New York",New York,New York,15,Anti-LGBTQ (2)<br /> Anti-Muslim (1)<br /> Black Separatist (6)<br /> General Hate (2)<br /> Hate Music (1)<br /> White Nationalist (3),-74.0059728,40.7127753
"Niagara Falls, New York",Niagara Falls,New York,1,Radical Traditional Catholicism (1),-79.0377388,43.0962143
"Rochester, New York",Rochester,New York,3,Black Separatist (2)<br /> Neo-Volkisch (1),-77.6088465,43.1565779
"Syracuse, New York",Syracuse,New York,1,Black Separatist (1),-76.1474244,43.0481221
